09/05/2023 09:00,Leeds,Jerome Soper,"Regular Iced americano - 2.15, Large Hot Chocolate - 1.70, Regular Iced americano - 2.15, Large Filter coffee - 1.80",7.8,CARD,7925280230207247
09/05/2023 09:01,Leeds,Ronald Moss,"Large Chai latte - 2.60, Regular Hot Chocolate - 1.40",4.0,CASH,
09/05/2023 09:03,Leeds,Joseph Mccabe,"Regular Chai latte - 2.30, Regular Filter coffee - 1.50, Large Chai latte - 2.60",6.4,CARD,6840608068100313
09/05/2023 09:04,Leeds,Liliana Nolan,"Regular Iced americano - 2.15, Regular Hot Chocolate - 1.40",3.55,CARD,6202760295865095
09/05/2023 09:06,Leeds,Frank Nistler,"Large Speciality Tea - English breakfast - 1.60, Regular Filter coffee - 1.50, Regular Speciality Tea - English breakfast - 1.30",4.4,CASH,
09/05/2023 09:08,Leeds,Jon Reitmeier,"Regular Speciality Tea - English breakfast - 1.30, Large Chai latte - 2.60, Large Hot Chocolate - 1.70, Regular Speciality Tea - English breakfast - 1.30",6.9,CARD,2056593809865379
09/05/2023 09:09,Leeds,Elizabeth Schorn,"Regular Chai latte - 2.30, Regular Filter coffee - 1.50, Large Hot Chocolate - 1.70",5.5,CARD,2812660039587377
09/05/2023 09:11,Leeds,Michael Bond,"Regular Chai latte - 2.30, Large Filter coffee - 1.80, Large Filter coffee - 1.80",5.9,CASH,
09/05/2023 09:12,Leeds,Jeffrey Collins,"Regular Filter coffee - 1.50, Regular Hot Chocolate - 1.40",2.9,CARD,2423643609573921
09/05/2023 09:14,Leeds,Michael White,Regular Chai latte - 2.30,2.3,CARD,6297442039581650
09/05/2023 09:16,Leeds,Karen Davis,"Large Filter coffee - 1.80, Regular Iced americano - 2.15, Large Speciality Tea - English breakfast - 1.60, Regular Chai latte - 2.30, Large Filter coffee - 1.80",9.65,CASH,
09/05/2023 09:17,Leeds,Janet Hill,"Regular Filter coffee - 1.50, Large Filter coffee - 1.80, Regular Speciality Tea - English breakfast - 1.30, Large Hot Chocolate - 1.70",6.3,CASH,
09/05/2023 09:19,Leeds,Christopher Foust,"Regular Iced americano - 2.15, Large Chai latte - 2.60, Regular Hot Chocolate - 1.40, Large Filter coffee - 1.80, Regular Iced americano - 2.15",10.1,CARD,7431367368019221
09/05/2023 09:21,Leeds,Sylvia Stackhouse,"Large Speciality Tea - English breakfast - 1.60, Regular Chai latte - 2.30, Regular Chai latte - 2.30, Large Speciality Tea - English breakfast - 1.60, Large Chai latte - 2.60",10.4,CARD,1009047792107863
09/05/2023 09:22,Leeds,Daniel Lloyd,"Regular Chai latte - 2.30, Regular Hot Chocolate - 1.40, Regular Chai latte - 2.30, Large Filter coffee - 1.80",7.8,CARD,4025747635017696
09/05/2023 09:24,Leeds,Cherise Luciano,"Regular Hot Chocolate - 1.40, Large Chai latte - 2.60",4.0,CARD,6835408630855943
09/05/2023 09:25,Leeds,Donna Lunde,"Regular Chai latte - 2.30, Regular Hot Chocolate - 1.40",3.7,CARD,2134939939807215
09/05/2023 09:27,Leeds,George Martin,"Regular Iced americano - 2.15, Large Hot Chocolate - 1.70",3.85,CASH,
09/05/2023 09:29,Leeds,Ruby Larkin,Large Iced americano - 2.50,2.5,CARD,8776587784094223
09/05/2023 09:30,Leeds,Phyllis Jones,"Large Filter coffee - 1.80, Regular Speciality Tea - English breakfast - 1.30, Large Chai latte - 2.60",5.7,CASH,
09/05/2023 09:32,Leeds,Merle Morin,Large Filter coffee - 1.80,1.8,CARD,9283167107797483
